2019-02-15 10:14:03,803 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-02-15 11:00:07,594 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-02-15 11:22:02,437 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 03-Loja-App:03-Loja-App:0.0.1-SNAPSHOT @ D:\MATSUYAMA2\03-Loja-App\pom.xml.
2019-02-15 11:22:03,324 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:03,331 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:22:03,340 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:03,340 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MATSUYAMA2\03-Loja-App\src\test\resources
2019-02-15 11:22:03,369 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /03-Loja-App/src
2019-02-15 11:22:03,370 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /03-Loja-App/src overlaps with sources folder /03-Loja-App/src
2019-02-15 11:22:03,375 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /03-Loja-App/src/test/java because it overlaps with /03-Loja-App/src
2019-02-15 11:22:03,507 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-02-15 11:22:03,971 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 03-Loja-App:03-Loja-App:0.0.1-SNAPSHOT @ D:\MATSUYAMA2\03-Loja-App\pom.xml.
2019-02-15 11:22:04,308 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /03-Loja-App/src
2019-02-15 11:22:04,308 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /03-Loja-App/src overlaps with sources folder /03-Loja-App/src
2019-02-15 11:22:04,321 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /03-Loja-App/src/test/java because it overlaps with /03-Loja-App/src
2019-02-15 11:22:04,382 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2019-02-15 11:22:04,678 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:04,680 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:22:04,688 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:04,688 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MATSUYAMA2\03-Loja-App\src\test\resources
2019-02-15 11:22:55,188 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 03-Loja-App:03-Loja-App:0.0.1-SNAPSHOT @ D:\MATSUYAMA2\03-Loja-App\pom.xml.
2019-02-15 11:22:56,063 [Worker-16] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/log4j/log4j/1.2.17/log4j-1.2.17.pom
2019-02-15 11:22:56,317 [Worker-16] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/log4j/log4j/1.2.17/log4j-1.2.17.pom
2019-02-15 11:22:56,457 [Worker-16] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/log4j/log4j/1.2.17/log4j-1.2.17.jar
2019-02-15 11:22:57,323 [Worker-16] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/log4j/log4j/1.2.17/log4j-1.2.17.jar
2019-02-15 11:22:57,585 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:57,587 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:22:57,589 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:57,590 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MATSUYAMA2\03-Loja-App\src\test\resources
2019-02-15 11:22:58,848 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:58,851 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:22:58,860 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:22:58,861 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MATSUYAMA2\03-Loja-App\src\test\resources
2019-02-15 11:23:00,212 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 03-Loja-App:03-Loja-App:0.0.1-SNAPSHOT @ D:\MATSUYAMA2\03-Loja-App\pom.xml.
2019-02-15 11:23:00,376 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:23:00,378 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:23:00,380 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:23:00,380 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MATSUYAMA2\03-Loja-App\src\test\resources
2019-02-15 11:23:43,724 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:23:43,726 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:23:43,734 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:23:43,735 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MATSUYAMA2\03-Loja-App\src\test\resources
2019-02-15 11:24:01,162 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:24:01,163 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:24:01,166 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:24:01,167 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MATSUYAMA2\03-Loja-App\src\test\resources
2019-02-15 11:24:13,618 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:24:13,620 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
